CustomerId,ProductId,Quantity,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL
1,42583,2,Boys,Apparel,Topwear,Waistcoat,Navy Blue,Casual,United Colors of Benetton Boys Navy Blue Waistcoat,42583.jpg,http://assets.myntassets.com/v1/images/style/properties/97efb5081c7061b3a4f87dcce29be8b7_images.jpg
1,40978,3,Boys,Apparel,Topwear,Tshirts,Red,Casual,Gini and Jony Boys United Red T-shirt,40978.jpg,http://assets.myntassets.com/v1/images/style/properties/4fb51b6af9daa7d7e7b37a54ee98d6a8_images.jpg
1,37520,2,Boys,Apparel,Bottomwear,Shorts,Yellow,Casual,Madagascar3 Infant Boys Lemon Yellow Shorts,37520.jpg,http://assets.myntassets.com/v1/images/style/properties/fa94c19ae0b928f1619ccd75f8ff41ac_images.jpg
1,23623,2,Girls,Apparel,Topwear,Tops,Pink,Casual,Doodle Kids Girls Pink I love Shopping Top,23623.jpg,http://assets.myntassets.com/v1/images/style/properties/ef9685293a987f515492addd034006bf_images.jpg
2,32846,1,Women,Footwear,Shoes,Heels,Brown,Casual,Grendha Women Jola Cigana Brown Flats,32846.jpg,http://assets.myntassets.com/v1/images/style/properties/a4efd6edb6ccaea45973e4163492e6f6_images.jpg
2,44517,3,Men,Footwear,Flip Flops,Flip Flops,Brown,Casual,Coolers Men Brown Pokar Flip Flops,44517.jpg,http://assets.myntassets.com/v1/images/style/properties/Coolers-Men-POKAR-Brown-Flip-Flops_8b247db935e7cfffb8f5a0b8d578f7bf_images.jpg
2,42021,3,Women,Footwear,Shoes,Casual Shoes,Black,Casual,ADIDAS Women Black Vigor Shoes,42021.jpg,http://assets.myntassets.com/v1/images/style/properties/4968876b532d2d9f4bb4ee1db85d7517_images.jpg
2,4215,1,Girls,Apparel,Topwear,Tshirts,White,Casual,Disney Kids Girl's White Fun In The Fair Kidswear,4215.jpg,http://assets.myntassets.com/v1/images/style/properties/fc089b6f7fd2b70e7f4e07bf25647904_images.jpg
2,3566,1,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men's White Silver Running Shoe,3566.jpg,http://assets.myntassets.com/v1/images/style/properties/7dae540b7b309f050e1e1b635ceabf85_images.jpg
2,11940,1,Men,Footwear,Sandal,Sandals,Black,Casual,Ganuchi Men Casual Black Sandals,11940.jpg,http://assets.myntassets.com/v1/images/style/properties/b23f1e70aec0102c360fb9dfdc476023_images.jpg
3,34026,3,Boys,Apparel,Topwear,Tshirts,White,Casual,Gini and Jony Boys White Printed T-shirt,34026.jpg,http://assets.myntassets.com/v1/images/style/properties/9eb7ae8020b8ce892daad5ae5c7df7e4_images.jpg
3,19034,1,Women,Footwear,Shoes,Heels,Blue,Casual,Catwalk Women Comfort Blue Flats,19034.jpg,http://assets.myntassets.com/v1/images/style/properties/d4181d02e62aaf4f17ab25d1174469c0_images.jpg
3,13306,2,Boys,Apparel,Bottomwear,Trousers,Black,Casual,Gini and Jony Kids Solid Black Trousers,13306.jpg,http://assets.myntassets.com/v1/images/style/properties/e48cff60a18175ea35f3cdab4a5440e9_images.jpg
3,38248,3,Boys,Apparel,Topwear,Tshirts,Multi,Casual,Batman Boys Multi Coloured T-shirt,38248.jpg,http://assets.myntassets.com/v1/images/style/properties/1b57911239cc718350f2fb20da8e6ab9_images.jpg
3,45784,3,Women,Footwear,Shoes,Heels,Black,Casual,Senorita Women Black Sandals,45784.jpg,http://assets.myntassets.com/v1/images/style/properties/4db319439bccefddbea106985fc59e0f_images.jpg
4,22101,2,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Flying Machine Men Grey Casual Shoes,22101.jpg,http://assets.myntassets.com/v1/images/style/properties/74ad44750c9d0e10e88bba88fe5f9910_images.jpg
4,20762,2,Women,Footwear,Shoes,Heels,Red,Casual,Carlton London  Women Casual Red Sandals,20762.jpg,http://assets.myntassets.com/v1/images/style/properties/82cbc630bff87604d139fd714beadd52_images.jpg
5,47154,3,Girls,Apparel,Bottomwear,Capris,Black,Casual,Gini and Jony Girls Black Capris,47154.jpg,http://assets.myntassets.com/v1/images/style/properties/5158808a5bdd60c8c8af6999f8481160_images.jpg
5,14339,2,Women,Footwear,Flip Flops,Flip Flops,Grey,Casual,Nike Women Solarsoft Thong Grey Slippers,14339.jpg,http://assets.myntassets.com/v1/images/style/properties/c9c6f46bd79a43539d5e53daab451c5f_images.jpg
5,10307,3,Women,Footwear,Shoes,Flats,Silver,Casual,Clarks Women Arizona Metallic Leather Silver Ballerinas,10307.jpg,http://assets.myntassets.com/v1/images/style/properties/7c3f22abe3819eec4f13808e1ea52610_images.jpg
5,14496,2,Men,Footwear,Shoes,Casual Shoes,Grey,Casual,Flying Machine Men Casual Grey Casual Shoes,14496.jpg,http://assets.myntassets.com/v1/images/style/properties/e049a003fb6a4def8cce97f6ff7e0cc7_images.jpg
5,6449,1,Women,Footwear,Flip Flops,Flip Flops,Black,Casual,Lotto Women's Cross Color Beige Black Flip Flop,6449.jpg,http://assets.myntassets.com/v1/images/style/properties/60da15fbf50ec5d120d4abb342f11644_images.jpg
6,38500,2,Girls,Apparel,Bottomwear,Jeans,Black,Casual,Gini and Jony Girls Woven Black Jeans,38500.jpg,http://assets.myntassets.com/v1/images/style/properties/3e6b0cb6f9d61af7f061d53a30e996c9_images.jpg
6,33272,3,Girls,Apparel,Bottomwear,Capris,Pink,Casual,Gini & Jony Girls Pink Pedal Pusher,33272.jpg,http://assets.myntassets.com/v1/images/style/properties/796dd7cad495afb6d1bb04bc035f3d38_images.jpg
6,38342,3,Girls,Apparel,Topwear,Tops,White,Casual,Mr. Men Little Miss Girls White Top,38342.jpg,http://assets.myntassets.com/v1/images/style/properties/be06f524c657558ce1e79871f64edcb6_images.jpg
7,12509,3,Men,Footwear,Shoes,Casual Shoes,Brown,Casual,Red Tape Men Casual Brown Casual Shoes,12509.jpg,http://assets.myntassets.com/v1/images/style/properties/7f5bf1bfc926e96373823989b1c4f420_images.jpg
