index,ProductId,Gender,Category,SubCategory,ProductType,Colour,Usage,ProductTitle,Image,ImageURL,CustomerId
1029,8327,Boys,Apparel,Topwear,Tshirts,Green,Casual,Doodle Boy's Stripper Green Teen Kidswear,8327.jpg,http://assets.myntassets.com/v1/images/style/properties/00151e0deb0edf345753dcb135f5c62c_images.jpg,157
827,48240,Boys,Apparel,Topwear,Tshirts,Yellow,Casual,Avengers Boys Yellow Printed T-shirt,48240.jpg,http://assets.myntassets.com/v1/images/style/properties/bfeb60449c03faed32a42e8d74371044_images.jpg,975
2889,46584,Women,Footwear,Shoes,Heels,White,Casual,Catwalk Women White Sandals,46584.jpg,http://assets.myntassets.com/v1/images/style/properties/f9cd868eaeebaccefeab4d9e35fa3706_images.jpg,93
694,35893,Boys,Apparel,Topwear,Tshirts,White,Casual,Jungle Book Boys Safari White T-shirt,35893.jpg,http://assets.myntassets.com/v1/images/style/properties/f34635d19c9697add9d399a45cf112b0_images.jpg,666
1437,6619,Men,Footwear,Shoes,Sports Shoes,White,Sports,ADIDAS Men's Boris White Shoe,6619.jpg,http://assets.myntassets.com/v1/images/style/properties/2aacd81da075c8d9cb891276bd9dbc9e_images.jpg,799
1045,30716,Boys,Apparel,Apparel Set,Kurta Sets,Blue,Ethnic,Fabindia Boys Blue Dhoti Angarakha Set,30716.jpg,http://assets.myntassets.com/v1/images/style/properties/c8bd2106fa00fdf9c9c5e5b2d8bffe6a_images.jpg,394
229,5444,Girls,Apparel,Topwear,Tops,Black,Casual,Ant Kids Girl's Check Top Black Kidswear,5444.jpg,http://assets.myntassets.com/v1/images/style/properties/56881a82fc4389af32b2ce6970125601_images.jpg,900
12,23624,Girls,Apparel,Topwear,Tops,White,Casual,Doodle Kids Girls White I love Shopping Top,23624.jpg,http://assets.myntassets.com/v1/images/style/properties/5ab7fb83e0891f3453746c9a073e3ec6_images.jpg,816
820,37515,Boys,Apparel,Bottomwear,Leggings,Blue,Casual,Madagascar3 Infant Boys Blue Leggings,37515.jpg,http://assets.myntassets.com/v1/images/style/properties/bd1e49b3747f15406d532fcfac22173a_images.jpg,191
600,34098,Boys,Apparel,Topwear,Shirts,Multi,Casual,Doodle Boys Check Multi Coloured Shirt,34098.jpg,http://assets.myntassets.com/v1/images/style/properties/d4f2090a2b6fdc38abeddef4bf53d388_images.jpg,54
792,37547,Boys,Apparel,Topwear,Tshirts,Yellow,Casual,Madagascar 3 Infants Boys Yellow Tshirt,37547.jpg,http://assets.myntassets.com/v1/images/style/properties/71c7c6a0fe918b343ddd4a62a3f25748_images.jpg,904
949,36316,Boys,Apparel,Topwear,Tshirts,White,Casual,Mr.Men Boys Mr. Messy White T-shirt,36316.jpg,http://assets.myntassets.com/v1/images/style/properties/82ffc0d51a29047689e682c6e6d79a06_images.jpg,291
546,40935,Girls,Apparel,Topwear,Tops,White,Casual,Gini and Jony Girls Core White Top,40935.jpg,http://assets.myntassets.com/v1/images/style/properties/5d4553d8cb3c8839cdf27831b3a882a4_images.jpg,552
637,31144,Boys,Apparel,Topwear,Tshirts,Pink,Casual,Gini and Jony Boys Printed Pink T-shirt,31144.jpg,http://assets.myntassets.com/v1/images/style/properties/deba391102cf15058addefecf16dc72e_images.jpg,666
2586,56969,Women,Footwear,Shoes,Heels,Black,Casual,HM Women Brown Flats,56969.jpg,http://assets.myntassets.com/v1/images/style/properties/HM-Women-Black-Sandals_fc3e4f63117f608868b305e028ac1421_images.jpg,330
1784,44715,Men,Footwear,Flip Flops,Flip Flops,Blue,Casual,Lotto Men Navy Blue Flip Flops,44715.jpg,http://assets.myntassets.com/v1/images/style/properties/ecca5b63a81ffb22a8b30c1674a7ddf0_images.jpg,491
2108,35465,Men,Footwear,Shoes,Casual Shoes,Blue,Casual,Franco Leone Men Blue Shoes,35465.jpg,http://assets.myntassets.com/v1/images/style/properties/428ea86c27e68387b1a41b4686edd32a_images.jpg,646
1303,4730,Boys,Apparel,Topwear,Tshirts,Blue,Casual,Disney Kids Boy's Champs Blue Teen Kidswear,4730.jpg,http://assets.myntassets.com/v1/images/style/properties/6c71352571aa06a6e46ad16e6e9b47c1_images.jpg,689
2110,23500,Men,Footwear,Shoes,Sports Shoes,White,Sports,FILA Men Hostile White Sports Shoes,23500.jpg,http://assets.myntassets.com/v1/images/style/properties/0734fd1f8aea4117ff2f3810a8d7d30b_images.jpg,468
2575,15266,Women,Footwear,Shoes,Casual Shoes,Gold,Casual,ADIDAS Originals Women Top Ten HI Sleek Gold Casual Shoes,15266.jpg,http://assets.myntassets.com/v1/images/style/properties/309cc626f544977d148320772cf03edc_images.jpg,18
2645,34517,Women,Footwear,Flip Flops,Flip Flops,Green,Casual,ADIDAS Women Pearl Star Green Flip Flop,34517.jpg,http://assets.myntassets.com/v1/images/style/properties/5d9b06259bbf01fe10632ca8c8d45c90_images.jpg,597
